"동별","연령별","항목","단위","2024. 4/4","2025. 1/4",
"평창동","0~4세","한국인","","370","367",
"평창동","0~4세","등록외국인","","2","1",
"평창동","5~9세","계","","572","550",
"평창동","5~9세","한국인","","569","549",
"평창동","5~9세","등록외국인","","3","1",
"평창동","10~14세","계","","759","756",
"평창동","10~14세","한국인","","752","751",
"평창동","10~14세","등록외국인","","7","5",
"평창동","15~19세","계","","760","769",
"평창동","15~19세","한국인","","759","768",
"평창동","15~19세","등록외국인","","1","1",
"평창동","20~24세","계","","901","885",
"평창동","20~24세","한국인","","898","883",
"평창동","20~24세","등록외국인","","3","2",
"평창동","25~29세","계","","1027","1020",
"평창동","25~29세","한국인","","1011","1005",
"평창동","25~29세","등록외국인","","16","15",
"평창동","30~34세","계","","1070","1061",
"평창동","30~34세","한국인","","1053","1049",
"평창동","30~34세","등록외국인","","17","12",
"평창동","35~39세","계","","1022","1013",
"평창동","35~39세","한국인","","997","979",
"평창동","35~39세","등록외국인","","25","34",
"평창동","40~44세","계","","1269","1260",
"평창동","40~44세","한국인","","1240","1235",
"평창동","40~44세","등록외국인","","29","25",
"평창동","45~49세","계","","1188","1192",
"평창동","45~49세","한국인","","1165","1170",
"평창동","45~49세","등록외국인","","23","22",
"평창동","50~54세","계","","1548","1549",
"평창동","50~54세","한국인","","1527","1534",
"평창동","50~54세","등록외국인","","21","15",
"평창동","55~59세","계","","1588","1568",
"평창동","55~59세","한국인","","1577","1550",
"평창동","55~59세","등록외국인","","11","18",
"평창동","60~64세","계","","1546","1541",
"평창동","60~64세","한국인","","1526","1525",
"평창동","60~64세","등록외국인","","20","16",
"평창동","65~69세","계","","1311","1314",
"평창동","65~69세","한국인","","1300","1303",
"평창동","65~69세","등록외국인","","11","11",
"평창동","70~74세","계","","824","868",
"평창동","70~74세","한국인","","818","862",
"평창동","70~74세","등록외국인","","6","6",
"평창동","75~79세","계","","666","664",
"평창동","75~79세","한국인","","663","661",
"평창동","75~79세","등록외국인","","3","3",
"평창동","80~84세","계","","483","483",
"평창동","80~84세","한국인","","481","481",
"평창동","80~84세","등록외국인","","2","2",
"평창동","85~89세","계","","350","358",
"평창동","85~89세","한국인","","347","355",
"평창동","85~89세","등록외국인","","3","3",
"평창동","90~94세","계","","153","163",
"평창동","90~94세","한국인","","153","162",
"평창동","90~94세","등록외국인","","-","1",
"평창동","95~99세","계","","33","31",
"평창동","95~99세","한국인","","33","31",
"평창동","95~99세","등록외국인","","-","-",
"평창동","100세 이상","계","","12","13",
"평창동","100세 이상","한국인","","12","13",
"평창동","100세 이상","등록외국인","","-","-",
"무악동","합계","계","","7867","7857",
"무악동","합계","한국인","","7839","7829",
"무악동","합계","등록외국인","","28","28",
"무악동","0~4세","계","","188","188",
"무악동","0~4세","한국인","","188","188",
"무악동","0~4세","등록외국인","","-","-",
"무악동","5~9세","계","","310","297",
"무악동","5~9세","한국인","","310","297",
"무악동","5~9세","등록외국인","","-","-",
"무악동","10~14세","계","","468","458",
"무악동","10~14세","한국인","","468","458",
"무악동","10~14세","등록외국인","","-","-",
"무악동","15~19세","계","","451","445",
"무악동","15~19세","한국인","","451","445",
"무악동","15~19세","등록외국인","","-","-",
"무악동","20~24세","계","","418","426",
"무악동","20~24세","한국인","","417","425",
"무악동","20~24세","등록외국인","","1","1",
"무악동","25~29세","계","","376","370",
"무악동","25~29세","한국인","","376","370",
"무악동","25~29세","등록외국인","","-","-",
"무악동","30~34세","계","","394","397",
"무악동","30~34세","한국인","","388","391",
"무악동","30~34세","등록외국인","","6","6",
"무악동","35~39세","계","","432","430",
"무악동","35~39세","한국인","","427","425",
"무악동","35~39세","등록외국인","","5","5",
"무악동","40~44세","계","","600","603",
"무악동","40~44세","한국인","","597","600",
"무악동","40~44세","등록외국인","","3","3",
"무악동","45~49세","계","","651","631",
"무악동","45~49세","한국인","","648","630",
"무악동","45~49세","등록외국인","","3","1",
"무악동","50~54세","계","","823","823",
"무악동","50~54세","한국인","","818","818",
"무악동","50~54세","등록외국인","","5","5",
"무악동","55~59세","계","","590","596",
"무악동","55~59세","한국인","","590","594",
"무악동","55~59세","등록외국인","","-","2",
"무악동","60~64세","계","","620","622",
"무악동","60~64세","한국인","","617","620",
"무악동","60~64세","등록외국인","","3","2",
"무악동","65~69세","계","","488","508",
"무악동","65~69세","한국인","","486","505",
"무악동","65~69세","등록외국인","","2","3",
"무악동","70~74세","계","","351","346",
"무악동","70~74세","한국인","","351","346",
"무악동","70~74세","등록외국인","","-","-",
"무악동","75~79세","계","","268","279",
"무악동","75~79세","한국인","","268","279",
"무악동","75~79세","등록외국인","","-","-",
"무악동","80~84세","계","","248","241",
"무악동","80~84세","한국인","","248","241",
"무악동","80~84세","등록외국인","","-","-",
"무악동","85~89세","계","","136","139",
"무악동","85~89세","한국인","","136","139",
"무악동","85~89세","등록외국인","","-","-",
"무악동","90~94세","계","","42","47",
"무악동","90~94세","한국인","","42","47",
"무악동","90~94세","등록외국인","","-","-",
"무악동","95~99세","계","","10","9",
"무악동","95~99세","한국인","","10","9",
"무악동","95~99세","등록외국인","","-","-",
"무악동","100세 이상","계","","3","2",
"무악동","100세 이상","한국인","","3","2",
"무악동","100세 이상","등록외국인","","-","-",
"교남동","합계","계","","9713","9674",
"교남동","합계","한국인","","9552","9512",
"교남동","합계","등록외국인","","161","162",
"교남동","0~4세","계","","296","282",
"교남동","0~4세","한국인","","291","277",
"교남동","0~4세","등록외국인","","5","5",
"교남동","5~9세","계","","430","409",
"교남동","5~9세","한국인","","423","404",
"교남동","5~9세","등록외국인","","7","5",
"교남동","10~14세","계","","357","361",
"교남동","10~14세","한국인","","348","351",
"교남동","10~14세","등록외국인","","9","10",
"교남동","15~19세","계","","390","397",
"교남동","15~19세","한국인","","386","390",
"교남동","15~19세","등록외국인","","4","7",
"교남동","20~24세","계","","429","424",
"교남동","20~24세","한국인","","425","423",
"교남동","20~24세","등록외국인","","4","1",
"교남동","25~29세","계","","644","642",
"교남동","25~29세","한국인","","637","634",
"교남동","25~29세","등록외국인","","7","8",
"교남동","30~34세","계","","704","703",
"교남동","30~34세","한국인","","696","691",
"교남동","30~34세","등록외국인","","8","12",
"교남동","35~39세","계","","753","724",
"교남동","35~39세","한국인","","725","704",
"교남동","35~39세","등록외국인","","28","20",
"교남동","40~44세","계","","854","863",
"교남동","40~44세","한국인","","833","838",
"교남동","40~44세","등록외국인","","21","25",
"교남동","45~49세","계","","817","825",
"교남동","45~49세","한국인","","790","802",
"교남동","45~49세","등록외국인","","27","23",
"교남동","50~54세","계","","916","899",
"교남동","50~54세","한국인","","903","885",
"교남동","50~54세","등록외국인","","13","14",
"교남동","55~59세","계","","745","759",
"교남동","55~59세","한국인","","735","745",
"교남동","55~59세","등록외국인","","10","14",
"교남동","60~64세","계","","625","624",
"교남동","60~64세","한국인","","618","618",
"교남동","60~64세","등록외국인","","7","6",
"교남동","65~69세","계","","579","562",
"교남동","65~69세","한국인","","574","556",
"교남동","65~69세","등록외국인","","5","6",
"교남동","70~74세","계","","404","417",
"교남동","70~74세","한국인","","403","416",
"교남동","70~74세","등록외국인","","1","1",
"교남동","75~79세","계","","337","344",
"교남동","75~79세","한국인","","334","341",
"교남동","75~79세","등록외국인","","3","3",
"교남동","80~84세","계","","234","239",
"교남동","80~84세","한국인","","233","238",
"교남동","80~84세","등록외국인","","1","1",
"교남동","85~89세","계","","148","146",
"교남동","85~89세","한국인","","148","146",
"교남동","85~89세","등록외국인","","-","-",
"교남동","90~94세","계","","38","43",
"교남동","90~94세","한국인","","38","43",
"교남동","90~94세","등록외국인","","-","-",
"교남동","95~99세","계","","13","11",
"교남동","95~99세","한국인","","12","10",
"교남동","95~99세","등록외국인","","1","1",
"교남동","100세 이상","계","","-","-",
"교남동","100세 이상","한국인","","-","-",
"교남동","100세 이상","등록외국인","","-","-",
"가회동","합계","계","","3882","3868",
"가회동","합계","한국인","","3778","3763",
"가회동","합계","등록외국인","","104","105",
"가회동","0~4세","계","","57","58",
"가회동","0~4세","한국인","","55","55",
"가회동","0~4세","등록외국인","","2","3",
"가회동","5~9세","계","","101","97",
"가회동","5~9세","한국인","","97","93",
"가회동","5~9세","등록외국인","","4","4",
"가회동","10~14세","계","","149","148",
"가회동","10~14세","한국인","","146","145",
"가회동","10~14세","등록외국인","","3","3",
"가회동","15~19세","계","","163","162",
"가회동","15~19세","한국인","","157","157",
"가회동","15~19세","등록외국인","","6","5",
"가회동","20~24세","계","","158","149",
"가회동","20~24세","한국인","","157","148",
"가회동","20~24세","등록외국인","","1","1",
"가회동","25~29세","계","","222","219",
"가회동","25~29세","한국인","","217","215",
"가회동","25~29세","등록외국인","","5","4",
"가회동","30~34세","계","","286","289",
"가회동","30~34세","한국인","","275","278",
"가회동","30~34세","등록외국인","","11","11",
"가회동","35~39세","계","","253","249",
"가회동","35~39세","한국인","","238","235",
"가회동","35~39세","등록외국인","","15","14",
"가회동","40~44세","계","","300","294",
"가회동","40~44세","한국인","","290","284",
"가회동","40~44세","등록외국인","","10","10",
"가회동","45~49세","계","","314","322",
"가회동","45~49세","한국인","","298","303",
"가회동","45~49세","등록외국인","","16","19",
"가회동","50~54세","계","","370","352",
"가회동","50~54세","한국인","","359","340",
"가회동","50~54세","등록외국인","","11","12",
"가회동","55~59세","계","","322","330",
"가회동","55~59세","한국인","","313","321",
"가회동","55~59세","등록외국인","","9","9",
"가회동","60~64세","계","","308","297",
"가회동","60~64세","한국인","","304","294",
"가회동","60~64세","등록외국인","","4","3",
"가회동","65~69세","계","","247","261",
"가회동","65~69세","한국인","","242","257",
"가회동","65~69세","등록외국인","","5","4",
"가회동","70~74세","계","","191","196",
"가회동","70~74세","한국인","","190","195",
"가회동","70~74세","등록외국인","","1","1",
"가회동","75~79세","계","","177","177",
